car_model,price,year_model,kms,color,fueltype
Chevrolet Corsa 1.3 Gl,$14.000.000,1998,232.114,Blanco,Gasolina
Chevrolet Corsa 1.4 Active,$15.500.000,2004,200.000,Gris,Gasolina
Chevrolet Corsa 1.4 Active,$14.000.000,2005,237.000,Color not found,Gasolina
Chevrolet Corsa 1.4 L Evolution 4 p,$18.300.000,2005,162.000,Dorado,Gasolina
Chevrolet Corsa 1.4 L Evolution 5 p,$16.000.000,2006,193.500,Color not found,Gasolina
Chevrolet Corsa 1.4 Wind,$16.200.000,2005,181.458,Color not found,Gasolina
Chevrolet Corsa 1.4 Active,$16.000.000,2006,245.000,Color not found,Gasolina
Chevrolet Corsa 1.4 Active,$15.500.000,2006,135.000,Gris,Gasolina
Chevrolet Corsa 1.4 Wind Gl,$15.500.000,2006,137.000,Gris,Gasolina
Chevrolet Corsa 1.4 L Evolution 5 p,$17.600.000,2004,174.000,Gris,Gasolina
Chevrolet Corsa 1.4 Active,$15.500.000,2007,207.000,Plateado,Gasolina
Chevrolet Corsa 1.4 Gls,$13.500.000,2001,185.000,Color not found,Gasolina
Chevrolet Corsa 1.4 Active,$14.200.000,2006,175.000,Color not found,Gasolina
Chevrolet Corsa 1.4 L Evolution 5 p,$15.500.000,2004,164.000,Color not found,Gasolina
Chevrolet Corsa 1.4 Gl,$16.000.000,2002,176.000,Color not found,Gasolina
Chevrolet Corsa 1.4 L Evolution 4 p,$16.000.000,2006,160.379,Azul,Gasolina
Chevrolet Corsa 1.8 Gls Evolution,$22.500.000,2005,163.000,Color not found,Gasolina
Chevrolet Corsa 1.4 L Evolution 4 p,$19.000.000,2007,155.000,Color not found,Gasolina
Chevrolet Corsa 1.4 Active,$14.000.000,2004,176.000,Color not found,Gasolina
Chevrolet Corsa 1.4 Active,$18.200.000,2006,142.000,Color not found,Gasolina
Chevrolet Corsa 1.8 Gls Evolution,$15.000.000,2005,198,Gris,Gasolina
Chevrolet Corsa Corsa Wind 1.400,$13.000.000,2004,214.000,Blanco,Gasolina
Chevrolet Corsa,$13.000.000,1999,223.000,Rojo,Gasolina
Chevrolet Corsa 1.4 L Evolution 5 p,$15.500.000,2004,260.000,Color not found,Gasolina
Chevrolet Corsa 1.8 Gls Evolution,$16.800.000,2003,156.000,Color not found,Gasolina
Chevrolet Corsa 1.4 cc,$12.000.000,2002,228.266,Color not found,Gasolina
Chevrolet Corsa 1.4 Active,$14.800.000,2007,174.000,Plateado,Gasolina
Chevrolet Corsa 1.4 Active,$15.300.000,2005,1,Blanco,Gasolina
Chevrolet Corsa 1.4 L Evolution 4 p,$19.000.000,2005,200.000,Color not found,Gasolina
Chevrolet Corsa 1.4 Gl,$7.500.000,1998,250,Color not found,Gasolina
Chevrolet Corsa 1.8 L Evolution,$14.800.000,2003,154.300,Color not found,Gasolina
Chevrolet Corsa 1.4 Gls,$15.200.000,2003,146.200,Color not found,Gasolina
Chevrolet Corsa wind Wind,$18.000.000,2003,150.000,Color not found,Gasolina
Chevrolet Corsa 1.4 Active,$14.000.000,2006,179.000,Color not found,Gasolina
Chevrolet Corsa 1.4 Active,$15.500.000,2006,110.000,Color not found,Gasolina
Chevrolet Corsa 1.4 L,$10.600.000,2000,244.643,Rojo,Gasolina
Chevrolet Corsa 1.4 Active,$13.500.000,2005,204.000,Gris,Gasolina
Chevrolet Corsa 1.4 Active,$12.700.000,2004,227.000,Gris,Gasolina
Chevrolet Corsa 1.4 Active,$10.000.000,2005,415.000,Azul,Gasolina
Chevrolet Corsa 1.4 Active,$13.900.000,2005,130.000,Color not found,Gasolina
Chevrolet Corsa 1.3 Gl,$10.500.000,1997,150.000,Color not found,Gasolina
Chevrolet Corsa 1.4 Wind,$17.000.000,2007,145.000,Color not found,Gasolina
Chevrolet Corsa 1.4 L,$13.000.000,2000,68.000,Verde,Gasolina
Corsa Coupe Modelo 2005,$20.000.000,2005,100.000,Gris,Gasolina y gas
Corsa Evolución Chevrolet ,$19.000.000,Publicado,17,Color not found,Fuel type not found
Chevrolet Corsa Cupé,$8.400.000,1997,129.400,Color not found,Gasolina
Chevrolet Corsa 1.4 L Evolution 4 p,$18.000.000,2007,168.000,Color not found,Gasolina
Corsa Evolution,$17.500.000,2006,208.000,Rojo,Gasolina
